manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Volkswagen,Passat,2008,125452,Nigerian used,D,Petrol,Automatic,GREY,1354000
Peugeot,508,2012,71227,Nigerian used,C,Petrol,Automatic,BLACK,3370000
Hyundai,Santa Fe,2007,198052,Foreign used,C,Petrol,Automatic,Grey,2810000
Toyota,Matrix,2003,206044,Nigerian used,D,Petrol,Automatic,Blue,1578000
Mercedes-Benz,GL400,2013,63085,Nigerian used,D,Petrol,Automatic,BLACK,15690000
Lexus,Gs 300,2006,222883,Nigerian used, ,Petrol,Automatic,Red,1350000
Nissan,Pathfinder,2008,116244,Nigerian used, ,Petrol,Automatic,Black,1450000
Toyota,Venza,2011,91553,Foreign used, ,Petrol,Automatic,Grey,5250000
Ford,Ranger,2012,1,Nigerian used, ,Petrol,Manual,Black,3675000
Toyota,Camry,2013,76090,Foreign used,C,Petrol,Automatic,Red,5610000
Lexus,Es,2008,148410,Nigerian used,C,Petrol,Automatic,,3370000
Mercedes-Benz,C280,2007,183599,Foreign used,C,Petrol,Automatic,,2586000
Toyota,Tacoma,2006,78658,Nigerian used,C,Petrol,Automatic,BLACK,3370000
Volkswagen,Touareg,2004,183839,Nigerian used,E,Petrol,Automatic,Red,1690000
Toyota,Sienna,2013,179750,Nigerian used,C,Petrol,Automatic,BLACK,3930000
Kia,Optima,2012,111140,Nigerian used,C,Petrol,Automatic,BLACK,2700000
Kia,Rio,2013,127373,Nigerian used,D,Petrol,Automatic,,1690000
Toyota,Corolla,2008,211181,Nigerian used,D,Petrol,Manual,,1018000
Honda,Accord,2008,411658,Nigerian used,D,Petrol,Automatic,Black,1410000
Land Rover,Range Rover HSE,2008,167396,Nigerian used,E,Petrol,Automatic,BLACK,2586000
Kia,K3000,2013,113527,Foreign used,D,Petrol,Automatic,White,4042000
Nissan,Xterra,2006,237351,Nigerian used,C,Petrol,Automatic,GREY,1354000
Toyota,Solara,2004,132931,Nigerian used, ,Petrol,Automatic,,1354000
Toyota,Tacoma,2006,122941,Nigerian used,D,Petrol,Automatic,BLACK,4154000
Lexus,Es 300,2002,215064,Nigerian used,E,Petrol,Automatic,,1242000
Toyota,Rav4,1997,240167,Nigerian used,E,Petrol,Automatic,BLACK,626000
Nissan,Altima,2005,199759,Nigerian used, ,Petrol,Automatic,,682000
Nissan,Altima,2014,44140,Nigerian used,C,Petrol,Automatic,Grey,5386000
Ford,Taurus,2008,167869,Nigerian used,D,Petrol,Automatic,BLUE,1298000
Toyota,Corolla,2009,148717,Nigerian used,D,Petrol,Manual,Gold,1074000
