manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Toyota,Camry,2005.0,105516.0,Nigerian used,C,Petrol,Automatic,BLUE,1354000.0
Mercedes-Benz,Ml500,2003.0,167308.0,Nigerian used,D,Petrol,Automatic,SILVER,1578000.0
Toyota,Highlander,2003.0,183983.0,Nigerian used,E,Petrol,Automatic,grey,1410000.0
Honda,Accord,2008.0,221321.0,Nigerian used,E,Petrol,Automatic,BLACK,1018000.0
Land Rover,RANGE ROVER,2004.0,140000.0,Nigerian used,D,Petrol,Automatic,silver,2250000.0
Toyota,Venza,2010.0,114375.0,Foreign used,C,Petrol,Automatic,BLACK,5610000.0
Lexus,Gx 470,2004.0,163151.0,Nigerian used,D,Petrol,Automatic,Silver,3930000.0
Mercedes-Benz,Sprinter,2001.0,604158.0,Nigerian used,D,Diesel,Automatic,White,4490000.0
Mercedes-Benz,A160,2001.0,247568.0,Foreign used,D,Diesel,Automatic,BLACK,1466000.0
Toyota,Sienna,2000.0,211709.0,Nigerian used,D,Petrol,Automatic,GRAY,1242000.0
Honda,Pilot,2005.0,298797.0,Foreign used,D,Petrol,Automatic,Silver,2250000.0
Jeep,Liberty,2012.0,89781.0,Nigerian used,C,Petrol,Automatic,grey,4266000.0
Toyota,Rav4,2004.0,133937.0,Nigerian used,D,Petrol,Automatic,BLACK,1130000.0
BMW,318i,2008.0,187017.0,Nigerian used,D,Petrol,Automatic,BLACK,1354000.0
Hyundai,Santa Fe,2004.0,197923.0,Nigerian used,D,Petrol,Automatic,BLACK,1466000.0
Toyota,Venza,2013.0,113446.0,Nigerian used,C,Petrol,Automatic,BLACK,4546000.0
Nissan,Versa,2014.0,84236.0,Foreign used,D,Petrol,Automatic,SILVER,2810000.0
Toyota,Camry,2004.0,186331.0,Nigerian used,D,Petrol,Automatic,GRAY,1410000.0
Honda,Accord,2015.0,69811.0,Nigerian used,C,Petrol,Automatic,BLUE,5050000.0
Hyundai,Sonata,2012.0,106382.0,Foreign used,D,Petrol,Automatic,SILVER,3034000.0
Toyota,Rav4,2006.0,152277.0,Nigerian used,D,Petrol,Automatic,BLUE,1858000.0
Volkswagen,Passat,2008.0,125452.0,Nigerian used,D,Petrol,Automatic,GREY,1354000.0
Peugeot,508,2012.0,71227.0,Nigerian used,C,Petrol,Automatic,BLACK,3370000.0
Hyundai,Santa Fe,2007.0,198052.0,Foreign used,C,Petrol,Automatic,Grey,2810000.0
Toyota,Matrix,2003.0,206044.0,Nigerian used,D,Petrol,Automatic,Blue,1578000.0
Mercedes-Benz,GL400,2013.0,63085.0,Nigerian used,D,Petrol,Automatic,BLACK,15690000.0
Toyota,Camry,2013.0,76090.0,Foreign used,C,Petrol,Automatic,Red,5610000.0
Lexus,Es,2008.0,148410.0,Nigerian used,C,Petrol,Automatic,black,3370000.0
Mercedes-Benz,C280,2007.0,183599.0,Foreign used,C,Petrol,Automatic,blue,2586000.0
Toyota,Tacoma,2006.0,78658.0,Nigerian used,C,Petrol,Automatic,BLACK,3370000.0
Volkswagen,Touareg,2004.0,183839.0,Nigerian used,E,Petrol,Automatic,Red,1690000.0
Toyota,Sienna,2013.0,179750.0,Nigerian used,C,Petrol,Automatic,BLACK,3930000.0
Kia,Optima,2012.0,111140.0,Nigerian used,C,Petrol,Automatic,BLACK,2700000.0
Kia,Rio,2013.0,127373.0,Nigerian used,D,Petrol,Automatic,blue,1690000.0
Toyota,Corolla,2008.0,211181.0,Nigerian used,D,Petrol,Manual,blue,1018000.0
