manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price,car_age
Toyota,Camry,2008,233603,Nigerian used,E,Petrol,Automatic,black,2026000,13
Honda,Cr-V,2005,85995,Nigerian used,C,Petrol,Automatic,silver,1354000,16
Toyota,Camry,2013,149729,Nigerian used,E,Petrol,Automatic,white,2922000,8
Lexus,Es 350,2013,136283,Nigerian used,C,Petrol,Automatic,ash,7140000,8
Toyota,Camry,2008,116583,Nigerian used,C,Petrol,Automatic,grey,2138000,13
Nissan,Pathfinder,2005,134066,Nigerian used,D,Petrol,Automatic,red,1068400,16
Toyota,Sienna,2005,175001,Nigerian used,D,Petrol,Automatic,silver,1914000,16
Toyota,Camry,2004,116439,Foreign used,D,Petrol,Automatic,beige,2138000,17
Honda,Accord,2003,91393,Nigerian used,D,Petrol,Automatic,blue,1074000,18
Lexus,Gx 470,2004,94953,Nigerian used,E,Petrol,Automatic,blue,3370000,17
Toyota,Camry,2013,110845,Nigerian used,C,Petrol,Automatic,grey,3370000,8
Nissan,Titan,2007,250091,Foreign used,C,Petrol,Automatic,red,4510000,14
Honda,Cr-V,2010,286010,Foreign used,E,Petrol,Automatic,black,3146000,11
Ford,Taurus,2011,76003,Nigerian used,C,Petrol,Automatic,black,2026000,10
Hyundai,Sonata,2015,133217,Foreign used,C,Petrol,Automatic,silver,4735000,6
Toyota,Corolla,2009,252128,Nigerian used,C,Petrol,Automatic,black,2810000,12
Acura,Mdx,2001,253471,Nigerian used,D,Petrol,Automatic,wine,1130000,20
Ford,Escape,2014,44357,Nigerian used,C,Petrol,Automatic,blue,6730000,7
Toyota,Sienna,2004,150069,Nigerian used,D,Petrol,Automatic,sky blue,1242000,17
Nissan,Rogue,2011,157152,Nigerian used,C,Petrol,Automatic,silver,2362000,10
Hyundai,Elantra,2008,94054,Nigerian used,C,Petrol,Automatic,black,1466000,13
Toyota,Camry,2010,60168,Nigerian used,D,Petrol,Automatic,silver,2250000,11
Volkswagen,Jetta,1999,117808,Nigerian used,D,Petrol,Automatic,red,536400,22
Nissan,Maxima,2009,138830,Foreign used,C,Petrol,Automatic,white,2586000,12
Ford,Edge,2011,162179,Foreign used,C,Petrol,Automatic,red,3818000,10
Mercedes-Benz,C 240,2001,276543,Nigerian used,E,Petrol,Automatic,blue,794000,20
Hyundai,Elantra,2011,97960,Foreign used,E,Petrol,Automatic,white,3146000,10
Hyundai,Veloster,2012,117496,Nigerian used,C,Petrol,Automatic,orange,3146000,9
Toyota,Corolla,2011,86648,Foreign used,D,Petrol,Automatic,silver,3047500,10
Volkswagen,Sharan,2001,224602,Nigerian used,E,Petrol,Manual,blue,906000,20
Mazda,626,1999,185890,Nigerian used,E,Petrol,Manual,silver,850000,22
Mercedes-Benz,GL450,2008,103454,Nigerian used,D,Petrol,Automatic,silver,3034000,13
Toyota,Highlander,2012,53156,Nigerian used,D,Petrol,Automatic,purple,5610000,9
Toyota,Rav4,2009,89433,Nigerian used,C,Petrol,Automatic,silver,3370000,12
Lexus,Es300,1998,244305,Nigerian used,D,Petrol,Automatic,black,592400,23
Honda,Civic,2007,71614,Nigerian used,D,Petrol,Automatic,grey,984400,14
Honda,Accord,2006,266453,Foreign used,C,Diesel,Manual,wine,1690000,15
Toyota,Camry,2012,123574,Foreign used,C,Petrol,Automatic,red,4490000,9
Nissan,Altima,2008,168602,Nigerian used,E,Petrol,Automatic,green,1018000,13
Honda,Accord,2008,108814,Nigerian used,D,Petrol,Automatic,blue,1130000,13
Toyota,Camry,2008,119217,Foreign used,C,Petrol,Automatic,blue,3258000,13
Honda,Odyssey,2005,207368,Nigerian used,D,Petrol,Automatic,green,794000,16
Mercedes-Benz,S350,2006,112124,Foreign used,C,Petrol,Automatic,black,3594000,15
Honda,Odyssey,2012,88720,Nigerian used,D,Petrol,Automatic,black,2810000,9
Toyota,Sienna,2004,198032,Nigerian used,D,Petrol,Automatic,blue,2082000,17
Volkswagen,Passat,2008,83844,Nigerian used,D,Petrol,Automatic,black,1410000,13
Toyota,Camry,2002,184498,Nigerian used,D,Petrol,Automatic,red,1690000,19
Honda,Cr-V,2001,170792,Nigerian used,E,Petrol,Automatic,silver,458000,20
Ford,Freestyle,2005,214567,Nigerian used,E,Petrol,Automatic,green,794000,16
Nissan,Murano,2004,168357,Nigerian used,E,Petrol,Automatic,gold,850000,17
Honda,Cr-V,2005,338230,Nigerian used,D,Petrol,Automatic,silver,1186000,16
Hummer,H3,2008,27582,Nigerian used,D,Petrol,Automatic,black,2260000,13
Ford,Escape,2005,301670,Nigerian used,D,Petrol,Automatic,black,1690000,16
Volkswagen,Golf,1994,248815,Nigerian used,D,Petrol,Manual,black,458000,27
Nissan,Maxima,2012,75011,Nigerian used,D,Petrol,Automatic,black,1578000,9
Mercedes-Benz,GLK 350,2012,182638,Nigerian used,C,Petrol,Automatic,black,4490000,9
Toyota,Corolla,2012,145647,Nigerian used,D,Petrol,Automatic,gold,2362000,9
Toyota,Camry,2013,161235,Nigerian used,C,Petrol,Automatic,grey,4042000,8
Mazda,5,2007,175347,Nigerian used,E,Petrol,Automatic,white,1074000,14
Honda,Accord,2013,107706,Nigerian used,D,Petrol,Automatic,grey,3930000,8
Toyota,Picnic,2001,170241,Foreign used,D,Petrol,Automatic,gold,2586000,20
Ford,Windstar,2003,129247,Nigerian used,C,Petrol,Automatic,white,570000,18
Toyota,Sienna,2015,55719,Nigerian used,D,Petrol,Automatic,black,4490000,6
