manufacturer,model,year,mileage,selling_condition,grade,fuel,transmission,color,price
Lexus,Rx 330,2004,243562,Nigerian used,C,Petrol,Automatic,white,1690000
Honda,Pilot,2003,162874,Foreign used,E,Petrol,Automatic,silver,1746000
Skoda,Fabia,2008,7748,Nigerian used,D,Petrol,Manual,blue,514000
Ford,Explorer,2006,64811,Nigerian used,C,Petrol,Automatic,black,2250000
Toyota,Highlander,2008,172070,Nigerian used,D,Petrol,Automatic,black,3594000
Toyota,Fortuner,2017,12552,Nigerian used,A,Petrol,Automatic,black,21290000
Mercedes-Benz,C300,2010,143685,Foreign used,C,Petrol,Automatic,black,3930000
Toyota,Venza,2009,104020,Nigerian used,C,Petrol,Automatic,red,3706000
Acura,Rdx,2008,43858,Foreign used,D,Petrol,Automatic,black,3146000
Mercedes-Benz,CLS350,2005,195322,Nigerian used,E,Petrol,Automatic,white,3146000
Toyota,Camry,2007,127849,Nigerian used,C,Petrol,Automatic,black,2250000
Suzuki,Forenza,2004,99514,Nigerian used,D,Petrol,Automatic,red,738000
Toyota,Highlander,2002,169390,Nigerian used,D,Petrol,Automatic,blue,1802000
Lexus,NX,2017,9604,Foreign used,B,Petrol,Automatic,black,17930000
Lexus,Rx 300,2002,168174,Nigerian used,D,Petrol,Automatic,silver,2026000
Toyota,Camry,2006,271856,Nigerian used,D,Petrol,Automatic,silver,1690000
Nissan,Altima,2003,231979,Nigerian used,E,Petrol,Automatic,red,402000
Mercedes-Benz,CLA250,2014,100158,Nigerian used,C,Petrol,Automatic,white,7626000
Hyundai,Sonata,2019,19714,Nigerian used,C,Petrol,Automatic,brown,8410000
Ford,Focus,2003,219346,Nigerian used,C,Petrol,Manual,grey,794000
Nissan,Sentra,2012,287510,Nigerian used,D,Petrol,Automatic,grey,1466000
Toyota,Corolla,2008,163507,Nigerian used,D,Petrol,Automatic,black,1858000
Mini,Cooper,2012,129994,Nigerian used,C,Petrol,Manual,white,5610000
Toyota,Camry,2003,209800,Nigerian used,D,Petrol,Automatic,gold,1410000
Toyota,Corolla,2009,198402,Nigerian used,D,Petrol,Automatic,black,1634000
Toyota,Corolla,2005,134594,Nigerian used,C,Petrol,Automatic,grey,1690000
Mitsubishi,Pajero,2008,0,Nigerian used,D,Petrol,Automatic,black,2250000
Honda,Civic,2004,101256,Nigerian used,D,Petrol,Automatic,blue,659600
Toyota,Corolla,2000,157615,Nigerian used,D,Petrol,Automatic,red,794000
Dodge,Charger,2008,105249,Nigerian used,E,Petrol,Automatic,black,1130000
Nissan,Maxima,2007,83648,Foreign used,C,Petrol,Automatic,silver,1242000
Acura,Tl,2004,139505,Nigerian used,C,Petrol,Automatic,black,1018000
Toyota,Corolla,2002,131615,Nigerian used,D,Petrol,Automatic,blue,850000
Honda,Accord,2007,148147,Nigerian used,D,Petrol,Automatic,blue,1242000
Infiniti,Qx,2001,143177,Nigerian used,D,Petrol,Automatic,gold,1242000
Volkswagen,Sharan,2000,231784,Foreign used,D,Petrol,Manual,green,1970000
